name,artist,id,tempo
Amos Moses,Jerry Reed,0ieE5Rfin1KXRjwmF8RzeV,105.625
"Old Dogs, Children And Watermelon Wine",Tom T. Hall,0TD22Pd8CsaLwMWMhzUusU,109.573
Three Wooden Crosses,Randy Travis,1S4fpfX2u0hzFD9vb6FEB6,158.179
Just Another Day In Paradise,Phil Vassar,4LlNoNZflek4hZyZigCxpW,146.095
Cowgirls Don't Cry (feat. Reba McEntire),Brooks & Dunn,54007AqKIiRCG69C3ySu0b,115.015
I'm Already There,Lonestar,34Vn9nKfztyLco9lJazy4j,133.296
Mr. Mom,Lonestar,0jSIovJtKxEXH6vI4oRx7I,172.136
If You're Going Through Hell (Before The Devil Even Knows),Rodney Atkins,7vSn3VNbzOtPebdj6ZSebj,115.954
Riding With Private Malone,David Ball,4yym5ZJXwvg03d4kyhLVZO,93.93
A Different World,Bucky Covington,1IPFnPe6YsyzGePYS3ME2v,128.968
Friends In Low Places,Country Music Masters,7vmKy94WT1pGBYs2fmfWwl,108.074
Papa Loved Mama,Country Music Masters,34qAsitgv8LmqukXYXCmjM,165.673
The Thunder Rolls,Country Music Masters,4WGjpyCZVOL8N6wT6Cd97w,81.945
Callin' Baton Rouge,Country Music Masters,6zS42CS7UMl3sy9v8v9lX7,107.859
Deeper Than The Holler,Randy Travis,5xxyhpw8GMqIUWxe9706yq,142.648
On The Other Hand,Randy Travis,71WaAqNtNKNFcHZ2scb9Bi,96.03
Remember When,Alan Jackson,1nCSr7oGeUv7sUEoYuAJFF,125.59
Where I Come From,Alan Jackson,6ej1QJ8eIYmhsyTlvgDajy,124.711
Summertime Blues,Alan Jackson,3hV8Gvijx6cVv339o3uCSK,80.716
Small Town Southern Man,Alan Jackson,5ExWY6ojo1Qm3rC7iaEqx2,132.951
Born Country,Alabama,0MM0VlDZ4n8f7zfkz2MmqZ,167.311
Chasin' That Neon Rainbow,Alan Jackson,5Wp1Y8jscofORVp0FH0N9l,149.061
Where Were You (When the World Stopped Turning),Alan Jackson,3eSwvMfSA0Fyku6Ak5JEw0,115.362
If You're Gonna Play in Texas (You Gotta Have a Fiddle in the Band),Alabama,4lDHpM8kYUjVScfD8nfQ7A,109.581
Mountain Music,Alabama,2ncWUbOnlMTBBNR2k5EwQQ,109.52
Song of the South,Alabama,2uX5f3x2cObov0iDAPln4o,162.158
Ol' Red,Blake Shelton,5wane5dFpp8xgriui6y0c7,75.049
Some Beach,Blake Shelton,7kWeSMXLxUHHOkFxsS0vhP,115.979
Austin,Blake Shelton,2WQAknZHrJAEQOFXe0F44P,119.914
Hey Good Lookin',Loretta Lynn,6BwdoxaRUT2g7V7ck5opcC,143.28
You've Never Been This Far Before - Re-Recorded In Stereo,Conway Twitty,2aqHQzbPcrMl6m37ndVHOQ,133.355
Don't Cry Joni,Conway Twitty,6rcDnUdlrXGWw2eTxVRobs,100.349
Linda on My Mind,Conway Twitty,1QBhszc25PesXgxCOAIdI2,108.432
"Louisiana Woman, Mississippi Man",Conway Twitty,02sENi9ULQ36x9mKo5B7XW,98.263
Hello Darlin',Conway Twitty,4TMP1aRZUsG8C4HChYtfgC,82.787
Ocean Front Property,George Strait,7fLTejTau0YuF9PSCOLtSs,78.334
All My Ex's Live In Texas,George Strait,7k1Xm1wy00hCKJDYJL5p1n,130.541
Write This Down,George Strait,1TanmIWbaUj5NVwJ3k4XPd,123.867
Give It Away,George Strait,1qHRFZE8qykNXYZadzmi1m,148.1
Islands In the Stream,Dolly Parton,4dqEzdFAYkj1rjYLVDuTlN,204.016
The Gambler,Kenny Rogers,5KqldkCunQ2rWxruMEtGh0,87.04
Through The Years - Single Version,Kenny Rogers,4pP5xVUYEZljcmfyYFQXsx,131.266
Amarillo By Morning,George Strait,4TnUKixNWMfajncgdSwFoi,121.059
Ten Rounds Of Jose Cuevo,Tracy Byrd,2S2jMabBYR3nnTMjezD6Za,127.109
Coward Of The County,Kenny Rogers,0JkIre0YxNmKGMU5V7ZiDx,91.471
Watermelon Crawl,Tracy Byrd,3Q9t1A12iUemHTAWnH7PjD,136.746
I'm in a Hurry (And Don't Know Why),Alabama,29nNU80zu0vscbrvTi55mG,128.69
She Thinks My Tractor's Sexy,Kenny Chesney,3QV7NYkrmV0Q0IHdFJw9hO,122.07
She's In Love With The Boy,Trisha Yearwood,4EJvW4NHAk7TrIeX44jjXF,125.0
"I Like It, I Love It",Tim McGraw,3IvcWWehbBcBR4YZxlGM9R,124.027
"Love, Me",Collin Raye,5cCLKP66G2PJEorzYQVXHR,106.581
Two Dozen Roses,Shenandoah,0e05wFNr6zg1ULcp4NKs1p,121.341
